code_point_vente,predictions
20pf8,0.9999999999999999
20nbx,0.9467144156393129
20ptn,0.8773843769599513
20nbt,0.8651502989961978
20p2n,0.8485167081346862
20p9u,0.8175103766290105
20pyv,0.7350549656186279
20ntm,0.7344479454577418
20pt9,0.7221136632047361
20p2z,0.6833914792480681
20ny6,0.6801265558292092
20pak,0.6764099808106078
20p67,0.6746643036649963
20pay,0.6612731198643088
20rb4,0.6429263819892058
20p5c,0.6354397533992006
20p32,0.6323392028498674
20nmc,0.6211038835293475
20p33,0.620925533926776
20p4p,0.6185098629637006
20pt7,0.6144096485096394
20nmv,0.6044808553272357
20r1h,0.6006746644410247
20n52,0.5958138757279839
20r0u,0.5825192087517589
20r7j,0.5803177499965072
20nwx,0.5774199325751949
20nts,0.5739829733733336
20p3p,0.5624867689649141
20ncx,0.561804098525933
20vkw,0.5584493871349284
20n6m,0.5540099171563618
20pua,0.5452548985075366
20p99,0.5378092984462334
20p55,0.5269560299511721
20n88,0.5260368964783176
20r36,0.524318600430877
20pt2,0.5220333689174558
20p6f,0.513617994795235
20ps9,0.5040508223549455
20ncr,0.4981950941371015
20nmz,0.49620443291704797
20r1r,0.4950772612577744
20r8w,0.4919895033342555
20puu,0.48864372435927506
20pfs,0.4854340825664888
20pu9,0.47160238363613083
20py4,0.4714828663466418
20ph7,0.4709938467746545
20ndr,0.4700294470567755
20p0a,0.46610688423674007
20p2y,0.45874382387619106
20pfb,0.45668295300954675
20p5a,0.45214555367789766
20p4u,0.45194294775610155
20p1y,0.44817467859296023
20p1w,0.4473018220565236
20r4h,0.4467905640281412
20rat,0.4464284609652057
20p9b,0.44446704918163527
20r0v,0.43995186869566727
20rfk,0.4363903754417292
20rh9,0.43138562280506554
20pfa,0.4310360660383393
20p1r,0.41697244163613456
20rfm,0.4110874202874325
20pft,0.40790505206133554
20pck,0.3987839590150105
20p2j,0.39846778676637296
20pd4,0.3920569789640088
20rff,0.39167548177787126
20pcv,0.3911363240653848
20r1t,0.3680365660093362
20p26,0.3597446274577677
20nuw,0.35413386178792094
20nv8,0.3429273826812941
20p1v,0.3371035774025043
20pvx,0.32934945472420296
20rd8,0.07540661624896716
20vns,0.0
